date,tenor_3m,tenor_6m,tenor_1y,tenor_2y,tenor_5y,tenor_10y
2024-06-03,0.0668,0.0671,0.0690,0.0693,0.0703,0.0717
2024-06-04,0.0668,0.0672,0.0690,0.0693,0.0704,0.0718
2024-06-05,0.0663,0.0668,0.0684,0.0688,0.0699,0.0715
2024-06-06,0.0663,0.0668,0.0685,0.0689,0.0699,0.0714
2024-06-07,0.0664,0.0669,0.0685,0.0689,0.0700,0.0715
2024-06-10,0.0665,0.0669,0.0685,0.0689,0.0700,0.0714
2024-06-11,0.0665,0.0670,0.0685,0.0689,0.0700,0.0715
2024-06-12,0.0665,0.0670,0.0686,0.0690,0.0701,0.0715
2024-06-13,0.0666,0.0671,0.0686,0.0690,0.0701,0.0715
2024-06-14,0.0666,0.0671,0.0686,0.0691,0.0701,0.0716
2024-06-17,0.0666,0.0671,0.0686,0.0691,0.0702,0.0716
2024-06-18,0.0667,0.0672,0.0687,0.0691,0.0702,0.0716
2024-06-19,0.0667,0.0672,0.0687,0.0692,0.0702,0.0717
2024-06-20,0.0668,0.0673,0.0688,0.0692,0.0703,0.0717
2024-06-21,0.0668,0.0673,0.0688,0.0693,0.0703,0.0718
2024-06-24,0.0668,0.0673,0.0688,0.0693,0.0704,0.0718
2024-06-25,0.0669,0.0674,0.0689,0.0693,0.0704,0.0718
2024-06-26,0.0669,0.0674,0.0689,0.0694,0.0704,0.0719
2024-06-27,0.0670,0.0675,0.0690,0.0694,0.0705,0.0719
2024-06-28,0.0670,0.0675,0.0690,0.0695,0.0705,0.0720
2024-07-01,0.0668,0.0673,0.0688,0.0693,0.0703,0.0718
2024-07-02,0.0667,0.0672,0.0687,0.0692,0.0702,0.0717
2024-07-03,0.0666,0.0671,0.0686,0.0691,0.0701,0.0716
2024-07-04,0.0665,0.0670,0.0685,0.0690,0.0700,0.0715
2024-07-05,0.0664,0.0669,0.0684,0.0689,0.0699,0.0714
2024-07-08,0.0664,0.0669,0.0684,0.0689,0.0699,0.0714
2024-07-09,0.0663,0.0668,0.0683,0.0688,0.0699,0.0713
2024-07-10,0.0662,0.0667,0.0683,0.0688,0.0698,0.0713
2024-07-11,0.0661,0.0666,0.0682,0.0687,0.0697,0.0712
2024-07-12,0.0660,0.0665,0.0681,0.0686,0.0696,0.0711
2024-07-15,0.0661,0.0666,0.0682,0.0687,0.0697,0.0712
2024-07-16,0.0662,0.0667,0.0683,0.0688,0.0698,0.0713
2024-07-17,0.0663,0.0668,0.0683,0.0688,0.0698,0.0713
2024-07-18,0.0664,0.0669,0.0684,0.0689,0.0699,0.0714
2024-07-19,0.0665,0.0670,0.0685,0.0690,0.0700,0.0715
2024-07-22,0.0665,0.0670,0.0685,0.0690,0.0700,0.0715
2024-07-23,0.0666,0.0671,0.0686,0.0691,0.0701,0.0716
2024-07-24,0.0667,0.0672,0.0687,0.0691,0.0701,0.0716
2024-07-25,0.0668,0.0673,0.0688,0.0692,0.0702,0.0717
2024-07-26,0.0669,0.0674,0.0689,0.0693,0.0703,0.0718
2024-07-29,0.0669,0.0674,0.0689,0.0693,0.0703,0.0718
2024-07-30,0.0670,0.0675,0.0690,0.0694,0.0704,0.0719
2024-07-31,0.0670,0.0675,0.0690,0.0694,0.0704,0.0719
2024-08-01,0.0671,0.0676,0.0691,0.0695,0.0705,0.0720
2024-08-02,0.0672,0.0677,0.0692,0.0696,0.0706,0.0721
2024-08-05,0.0673,0.0678,0.0693,0.0697,0.0707,0.0722
2024-08-06,0.0674,0.0679,0.0694,0.0698,0.0708,0.0722
2024-08-07,0.0675,0.0680,0.0694,0.0698,0.0708,0.0722
2024-08-08,0.0675,0.0680,0.0695,0.0699,0.0708,0.0723
2024-08-09,0.0676,0.0681,0.0696,0.0699,0.0709,0.0723
2024-08-12,0.0676,0.0681,0.0696,0.0699,0.0709,0.0723
2024-08-13,0.0677,0.0682,0.0697,0.0700,0.0709,0.0723
